Number,Player,Minutes,Off reb,Def reb,Tot reb,Assists,Fouls comm,Fouls against,Turnovers,Steals,Blocked shots,Blocked shot attempt,Efficiency,+/-,Pts,Home team,Guest team,Team,Game number,Starter,2m,2a,3m,3a,Fgm,Fga,Ftm,Fta
6,Benedikt Blöndal,15.316666666666666,5.0,3.0,8.0,2.0,2.0,1.0,1.0,,,,14.0,-5.0,8.0,Keflavík,Valur,Valur,99.0,,1.0,2.0,2.0,4.0,3.0,6.0,,
7,Frank Aron Booker,30.833333333333332,,5.0,5.0,2.0,3.0,4.0,2.0,2.0,,1.0,15.0,-1.0,17.0,Keflavík,Valur,Valur,99.0,1.0,2.0,3.0,4.0,11.0,6.0,14.0,1.0,2.0
8,Bergur Ástráðsson,1.1,,,,,,,,,,,0.0,4.0,,Keflavík,Valur,Valur,99.0,,,,,,,,,
10,Austin Magnus Bracey,24.216666666666665,1.0,,1.0,3.0,3.0,1.0,1.0,,,,10.0,-13.0,12.0,Keflavík,Valur,Valur,99.0,,0.0,2.0,4.0,7.0,4.0,9.0,,
13,Sigurður Páll Stefánsson,1.4333333333333333,,,,1.0,,,,,,,1.0,6.0,,Keflavík,Valur,Valur,99.0,,,,,,,,,
14,Illugi Auðunsson,8.316666666666666,,1.0,1.0,1.0,3.0,2.0,,,,,7.0,6.0,6.0,Keflavík,Valur,Valur,99.0,,2.0,3.0,,,2.0,3.0,2.0,2.0
15,Pavel Ermolinskij,31.383333333333333,1.0,10.0,11.0,3.0,2.0,1.0,4.0,,2.0,,14.0,-10.0,12.0,Keflavík,Valur,Valur,99.0,1.0,0.0,5.0,4.0,7.0,4.0,12.0,0.0,2.0
16,Damir Mijic,16.85,,1.0,1.0,2.0,1.0,,1.0,,,2.0,-5.0,-7.0,2.0,Keflavík,Valur,Valur,99.0,,1.0,4.0,0.0,6.0,1.0,10.0,,
4,Axel Kárason,17.333333333333332,2.0,1.0,3.0,,2.0,,,1.0,,,4.0,7.0,3.0,Tindastóll,Þór Akureyri,Tindastóll,100.0,,,,1.0,4.0,1.0,4.0,,
5,Jaka Brodnik,28.35,3.0,5.0,8.0,1.0,3.0,3.0,1.0,,,,21.0,5.0,19.0,Tindastóll,Þór Akureyri,Tindastóll,100.0,1.0,5.0,7.0,2.0,5.0,7.0,12.0,3.0,4.0
6,Friðrik Þór Stefánsson,6.95,,1.0,1.0,,1.0,1.0,1.0,,,,3.0,2.0,4.0,Tindastóll,Þór Akureyri,Tindastóll,100.0,,2.0,2.0,0.0,1.0,2.0,3.0,,
7,Pétur Rúnar Birgisson,24.966666666666665,1.0,3.0,4.0,3.0,4.0,8.0,,,,1.0,13.0,2.0,13.0,Tindastóll,Þór Akureyri,Tindastóll,100.0,1.0,2.0,4.0,2.0,6.0,4.0,10.0,3.0,4.0
8,Eyþór Lár Bárðarson,0.7,,,,,,,,,,,0.0,,,Tindastóll,Þór Akureyri,Tindastóll,100.0,,,,,,,,,
11,Sinisa Bilic,29.15,,6.0,6.0,2.0,3.0,8.0,,,,,21.0,6.0,23.0,Tindastóll,Þór Akureyri,Tindastóll,100.0,1.0,5.0,8.0,2.0,6.0,7.0,14.0,7.0,10.0
12,Viðar Ágústsson,24.85,6.0,1.0,7.0,,1.0,,3.0,3.0,,,8.0,9.0,4.0,Tindastóll,Þór Akureyri,Tindastóll,100.0,,2.0,3.0,0.0,2.0,2.0,5.0,,
13,Hlynur Freyr Einarsson,0.7666666666666667,,,,,,,,1.0,,,0.0,2.0,,Tindastóll,Þór Akureyri,Tindastóll,100.0,,,,0.0,1.0,0.0,1.0,,
14,Helgi Rafn Viggósson,14.333333333333334,,3.0,3.0,2.0,4.0,,1.0,,,,4.0,9.0,2.0,Tindastóll,Þór Akureyri,Tindastóll,100.0,,1.0,3.0,,,1.0,3.0,,
21,Gerel Simmons,23.733333333333334,,2.0,2.0,6.0,1.0,1.0,1.0,1.0,,2.0,16.0,7.0,15.0,Tindastóll,Þór Akureyri,Tindastóll,100.0,1.0,5.0,9.0,1.0,4.0,6.0,13.0,2.0,2.0
33,Jasmin Perkovic,21.983333333333334,,4.0,4.0,3.0,1.0,2.0,1.0,,,,9.0,5.0,6.0,Tindastóll,Þór Akureyri,Tindastóll,100.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,4.0,4.0
35,Hannes Ingi Másson,6.883333333333333,1.0,3.0,4.0,,,,,,,,1.0,6.0,,Tindastóll,Þór Akureyri,Tindastóll,100.0,,0.0,1.0,0.0,2.0,0.0,3.0,,
1,Erlendur Ágúst Stefánsson,22.2,,1.0,1.0,2.0,4.0,,3.0,,,,-3.0,-5.0,,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,,
2,Jamal Marcel Palmer,32.233333333333334,1.0,5.0,6.0,2.0,2.0,5.0,,,1.0,,16.0,-6.0,17.0,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,1.0,3.0,6.0,2.0,6.0,5.0,12.0,5.0,8.0
4,Hansel Giovanny Atencia Suarez,33.7,1.0,5.0,6.0,8.0,4.0,3.0,4.0,,,,16.0,-5.0,18.0,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,1.0,4.0,8.0,3.0,10.0,7.0,18.0,1.0,2.0
8,Júlíus Orri Ágústsson,19.2,,1.0,1.0,,1.0,1.0,2.0,,,,3.0,-14.0,6.0,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,,2.0,3.0,0.0,1.0,2.0,4.0,2.0,2.0
12,Sigurður Traustason,0.7,,,,,,,,,,,0.0,,,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,,,,,,,,,
15,Pablo Hernandez Montenegro,29.55,3.0,3.0,6.0,,3.0,8.0,,,,,19.0,-5.0,18.0,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,1.0,6.0,7.0,1.0,2.0,7.0,9.0,3.0,6.0
18,Smári Jónsson,0.7,,,,,,,,,,,-1.0,,,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,,0.0,1.0,,,0.0,1.0,,
25,Baldur Örn Jóhannesson,16.633333333333333,1.0,3.0,4.0,,2.0,1.0,,1.0,1.0,,4.0,-14.0,1.0,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0
34,Ragnar Ágústsson,0.8333333333333334,,,,,,,,,,,0.0,-2.0,,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,,,,,,,,,
41,Mantas Virbalas,29.366666666666667,1.0,7.0,8.0,,5.0,2.0,2.0,1.0,,,15.0,-5.0,15.0,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,1.0,4.0,8.0,2.0,4.0,6.0,12.0,1.0,2.0
42,Róbert Orri Heiðmarsson,0.7,,,,,,,1.0,,,,-1.0,,,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,,,,,,,,,
72,Kolbeinn Fannar Gíslason,14.183333333333334,1.0,,1.0,2.0,2.0,,,1.0,1.0,,6.0,-4.0,2.0,Tindastóll,Þór Akureyri,Þór Akureyri,100.0,,1.0,1.0,0.0,1.0,1.0,2.0,,
0,Evan Christopher Singletary,36.96666666666667,,1.0,1.0,6.0,3.0,5.0,7.0,,,,18.0,5.0,25.0,ÍR,KR,ÍR,101.0,1.0,2.0,5.0,6.0,9.0,8.0,14.0,3.0,4.0
3,Collin Pryor,33.86666666666667,2.0,8.0,10.0,1.0,4.0,5.0,1.0,2.0,,1.0,16.0,6.0,9.0,ÍR,KR,ÍR,101.0,1.0,4.0,9.0,,,4.0,9.0,1.0,1.0
5,Danil Kirjanovski,0.0,,,,,,,,,,,,,,ÍR,KR,ÍR,101.0,,,,,,,,,
8,Trausti Eiríksson,12.316666666666666,1.0,1.0,2.0,1.0,2.0,,,1.0,,,2.0,-2.0,,ÍR,KR,ÍR,101.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,,
9,Einar Gísli Gíslason,0.0,,,,,,,,,,,,,,ÍR,KR,ÍR,101.0,,,,,,,,,
10,Florijan Jovanov,23.083333333333332,2.0,1.0,3.0,,4.0,2.0,1.0,2.0,1.0,,3.0,-8.0,3.0,ÍR,KR,ÍR,101.0,,,,0.0,4.0,0.0,4.0,3.0,4.0
14,Sæþór Elmar Kristjánsson,35.05,,2.0,2.0,1.0,3.0,2.0,2.0,,1.0,1.0,8.0,1.0,15.0,ÍR,KR,ÍR,101.0,1.0,1.0,3.0,4.0,10.0,5.0,13.0,1.0,2.0
15,Arnór Hermannsson,6.65,,,,1.0,,,,,,,-1.0,-8.0,,ÍR,KR,ÍR,101.0,,,,0.0,2.0,0.0,2.0,,
22,Hafliði Jökull Jóhannesson,0.0,,,,,,,,,,,,,,ÍR,KR,ÍR,101.0,,,,,,,,,
24,Georgi Boyanov,31.466666666666665,2.0,4.0,6.0,1.0,1.0,6.0,1.0,3.0,2.0,,29.0,5.0,26.0,ÍR,KR,ÍR,101.0,1.0,6.0,10.0,3.0,4.0,9.0,14.0,5.0,8.0
49,Daði Berg Grétarsson,20.6,,3.0,3.0,5.0,5.0,1.0,1.0,1.0,,1.0,3.0,6.0,,ÍR,KR,ÍR,101.0,,0.0,1.0,0.0,4.0,0.0,5.0,,
88,Júlíus Þór Árnason,0.0,,,,,,,,,,,,,,ÍR,KR,ÍR,101.0,,,,,,,,,
1,Matthías Orri Sigurðarson,35.06666666666667,1.0,6.0,7.0,2.0,2.0,8.0,2.0,2.0,,1.0,15.0,2.0,12.0,ÍR,KR,KR,101.0,1.0,1.0,2.0,3.0,7.0,4.0,9.0,1.0,2.0
3,Sveinn Búi Birgisson,0.0,,,,,,,,,,,,,,ÍR,KR,KR,101.0,,,,,,,,,
4,Brynjar Þór Björnsson,23.233333333333334,,2.0,2.0,1.0,4.0,1.0,,,1.0,1.0,3.0,-10.0,2.0,ÍR,KR,KR,101.0,,1.0,1.0,0.0,3.0,1.0,4.0,,
7,Michael Craion,33.36666666666667,2.0,6.0,8.0,4.0,3.0,5.0,9.0,1.0,,1.0,17.0,-3.0,17.0,ÍR,KR,KR,101.0,1.0,7.0,9.0,0.0,1.0,7.0,10.0,3.0,4.0
9,Jón Arnór Stefánsson,23.15,,2.0,2.0,3.0,3.0,3.0,3.0,1.0,,1.0,10.0,8.0,12.0,ÍR,KR,KR,101.0,1.0,2.0,5.0,2.0,3.0,4.0,8.0,2.0,3.0
10,Helgi Már Magnússon,31.483333333333334,,4.0,4.0,1.0,5.0,2.0,3.0,,1.0,,8.0,4.0,8.0,ÍR,KR,KR,101.0,1.0,3.0,3.0,0.0,2.0,3.0,5.0,2.0,3.0
14,Benedikt Lárusson,0.0,,,,,,,,,,,,,,ÍR,KR,KR,101.0,,,,,,,,,
23,Sigurður Á. Þorvaldsson,15.15,,2.0,2.0,,1.0,1.0,2.0,1.0,,,5.0,-3.0,6.0,ÍR,KR,KR,101.0,,2.0,3.0,0.0,1.0,2.0,4.0,2.0,2.0
25,Jakob Örn Sigurðarson,36.1,,2.0,2.0,5.0,3.0,2.0,1.0,,1.0,,23.0,-2.0,20.0,ÍR,KR,KR,101.0,1.0,3.0,5.0,4.0,6.0,7.0,11.0,2.0,2.0
77,Þorvaldur Orri Árnason,2.45,,,,,,,,,,,0.0,-1.0,,ÍR,KR,KR,101.0,,,,,,,,,
0,Tristan Rafn Ottósson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,,,,,,,,,
1,Ísak Júlíus Perdue,6.1,,1.0,1.0,,1.0,,,,,,1.0,-2.0,,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,,,,,,,,,
3,Benjamín Þorri Benjamínsson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,,,,,,,,,
4,Jón Jökull Þráinsson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,,,,,,,,,
7,Emil Karel Einarsson,31.966666666666665,3.0,2.0,5.0,2.0,3.0,2.0,1.0,,2.0,,23.0,12.0,22.0,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,1.0,,,7.0,13.0,7.0,13.0,1.0,2.0
9,Halldór Garðar Hermannsson,36.53333333333333,1.0,6.0,7.0,12.0,2.0,12.0,5.0,,,3.0,25.0,11.0,26.0,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,1.0,8.0,13.0,0.0,4.0,8.0,17.0,10.0,16.0
13,Davíð Arnar Ágústsson,14.25,,2.0,2.0,2.0,2.0,1.0,,1.0,,,3.0,-6.0,2.0,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,,1.0,2.0,0.0,3.0,1.0,5.0,,
20,Dino Butorac,32.7,2.0,6.0,8.0,5.0,1.0,2.0,5.0,,,,11.0,7.0,7.0,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,1.0,2.0,2.0,0.0,4.0,2.0,6.0,3.0,3.0
22,Vincent Terrence Bailey,31.583333333333332,1.0,8.0,9.0,2.0,3.0,3.0,3.0,2.0,2.0,,19.0,12.0,10.0,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,1.0,4.0,6.0,,,4.0,6.0,2.0,3.0
24,Marko Bakovic,34.35,4.0,6.0,10.0,3.0,5.0,2.0,1.0,,5.0,,27.0,12.0,17.0,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,1.0,7.0,13.0,1.0,2.0,8.0,15.0,,
25,Ragnar Örn Bragason,12.516666666666667,,1.0,1.0,1.0,,1.0,1.0,3.0,,,7.0,-1.0,5.0,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,,,,1.0,2.0,1.0,2.0,2.0,3.0
34,Styrmir Snær Þrastarson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Haukar,Þór Þorlákshöfn,102.0,,,,,,,,,
3,Kjartan Helgi Steinþórsson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Haukar,Haukar,102.0,,,,,,,,,
5,Gunnar Ingi Harðarson,22.9,,,,,4.0,1.0,1.0,,,1.0,9.0,1.0,14.0,Þór Þorlákshöfn,Haukar,Haukar,102.0,,1.0,3.0,4.0,6.0,5.0,9.0,,
6,Þorkell Jónsson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Haukar,Haukar,102.0,,,,,,,,,
7,Aron Ás Kjartansson,0.36666666666666664,,,,,,,,,,,0.0,-1.0,,Þór Þorlákshöfn,Haukar,Haukar,102.0,,,,,,,,,
8,Hjálmar Stefánsson,27.4,,6.0,6.0,3.0,3.0,4.0,,1.0,1.0,1.0,18.0,-4.0,11.0,Þór Þorlákshöfn,Haukar,Haukar,102.0,1.0,2.0,4.0,2.0,3.0,4.0,7.0,1.0,2.0
9,Haukur Óskarsson,19.033333333333335,,2.0,2.0,1.0,2.0,2.0,,,,,5.0,-2.0,8.0,Þór Þorlákshöfn,Haukar,Haukar,102.0,,1.0,3.0,2.0,6.0,3.0,9.0,,
10,Ágúst Goði Kjartansson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Haukar,Haukar,102.0,,,,,,,,,
12,Kári Jónsson,30.966666666666665,,3.0,3.0,3.0,,1.0,2.0,1.0,1.0,3.0,6.0,-11.0,9.0,Þór Þorlákshöfn,Haukar,Haukar,102.0,1.0,1.0,5.0,2.0,6.0,3.0,11.0,1.0,2.0
14,Emil Barja,28.266666666666666,1.0,4.0,5.0,8.0,5.0,1.0,4.0,4.0,,,15.0,-7.0,5.0,Þór Þorlákshöfn,Haukar,Haukar,102.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0
15,Gerald Robinson,26.1,2.0,7.0,9.0,1.0,3.0,3.0,1.0,1.0,,2.0,15.0,-7.0,10.0,Þór Þorlákshöfn,Haukar,Haukar,102.0,1.0,3.0,6.0,0.0,2.0,3.0,8.0,4.0,4.0
20,Yngvi Freyr Óskarsson,11.616666666666667,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,3.0,1.0,2.0,Þór Þorlákshöfn,Haukar,Haukar,102.0,,1.0,2.0,,,1.0,2.0,,
33,Flenard Whitfield,33.35,4.0,2.0,6.0,1.0,5.0,4.0,3.0,1.0,1.0,2.0,14.0,-15.0,21.0,Þór Þorlákshöfn,Haukar,Haukar,102.0,1.0,9.0,20.0,0.0,1.0,9.0,21.0,3.0,4.0
1,Kyle Johnson,32.81666666666667,3.0,2.0,5.0,,3.0,4.0,,1.0,,,15.0,-13.0,18.0,Stjarnan,Keflavík,Stjarnan,103.0,1.0,7.0,10.0,0.0,5.0,7.0,15.0,4.0,5.0
5,Nikolas Tomsick,35.333333333333336,1.0,6.0,7.0,6.0,4.0,3.0,2.0,,1.0,1.0,13.0,-12.0,16.0,Stjarnan,Keflavík,Stjarnan,103.0,1.0,7.0,13.0,0.0,9.0,7.0,22.0,2.0,2.0
6,Ásmundur Goði Einarsson,0.0,,,,,,,,,,,,,,Stjarnan,Keflavík,Stjarnan,103.0,,,,,,,,,
7,Ágúst Angantýsson,8.516666666666667,,2.0,2.0,,1.0,,,,,,6.0,4.0,4.0,Stjarnan,Keflavík,Stjarnan,103.0,,2.0,2.0,,,2.0,2.0,,
8,Ægir Þór Steinarsson,31.35,1.0,3.0,4.0,8.0,3.0,4.0,2.0,1.0,,1.0,13.0,-12.0,12.0,Stjarnan,Keflavík,Stjarnan,103.0,1.0,5.0,12.0,0.0,3.0,5.0,15.0,2.0,2.0
10,Dúi Þór Jónsson,6.816666666666666,,,,1.0,1.0,,1.0,,,,-2.0,,,Stjarnan,Keflavík,Stjarnan,103.0,,,,0.0,2.0,0.0,2.0,,
11,Tómas Þórður Hilmarsson,28.716666666666665,2.0,7.0,9.0,2.0,3.0,1.0,1.0,,2.0,1.0,21.0,-27.0,12.0,Stjarnan,Keflavík,Stjarnan,103.0,1.0,3.0,5.0,2.0,3.0,5.0,8.0,,
13,Ingimundur Orri Jóhannsson,0.0,,,,,,,,,,,,,,Stjarnan,Keflavík,Stjarnan,103.0,,,,,,,,,
14,Arnþór Freyr Guðmundsson,20.966666666666665,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,,,11.0,1.0,9.0,Stjarnan,Keflavík,Stjarnan,103.0,,,,3.0,6.0,3.0,6.0,,
15,Jamar Bala Akoh,34.18333333333333,3.0,1.0,4.0,,5.0,2.0,1.0,3.0,2.0,,25.0,1.0,20.0,Stjarnan,Keflavík,Stjarnan,103.0,1.0,10.0,13.0,,,10.0,13.0,,
21,Friðrik Anton Jónsson,0.0,,,,,,,,,,,,,,Stjarnan,Keflavík,Stjarnan,103.0,,,,,,,,,
29,Orri Gunnarsson,1.3,,,,,,,,,,,-1.0,-2.0,,Stjarnan,Keflavík,Stjarnan,103.0,,,,0.0,1.0,0.0,1.0,,
4,Khalil Ullah Ahmad,32.1,5.0,6.0,11.0,2.0,2.0,7.0,2.0,1.0,,3.0,23.0,21.0,28.0,Stjarnan,Keflavík,Keflavík,103.0,1.0,12.0,19.0,0.0,6.0,12.0,25.0,4.0,8.0
5,Magnús Már Traustason,19.183333333333334,1.0,,1.0,,2.0,1.0,1.0,,,,2.0,8.0,2.0,Stjarnan,Keflavík,Keflavík,103.0,,1.0,1.0,,,1.0,1.0,,
6,Elvar Snær Guðjónsson,0.0,,,,,,,,,,,,,,Stjarnan,Keflavík,Keflavík,103.0,,,,,,,,,
7,Ágúst Orrason,0.0,,,,,,,,,,,,,,Stjarnan,Keflavík,Keflavík,103.0,,,,,,,,,
8,Guðmundur Jónsson,1.3833333333333333,,,,,3.0,,1.0,,,,-1.0,-2.0,,Stjarnan,Keflavík,Keflavík,103.0,,,,,,,,,
9,Dominykas Milka,37.916666666666664,5.0,10.0,15.0,3.0,3.0,3.0,4.0,,1.0,1.0,37.0,12.0,31.0,Stjarnan,Keflavík,Keflavík,103.0,1.0,11.0,19.0,1.0,2.0,12.0,21.0,6.0,6.0
10,Davíð Alexander H. Magnússon,0.0,,,,,,,,,,,,,,Stjarnan,Keflavík,Keflavík,103.0,,,,,,,,,
11,Deane Williams,33.71666666666667,6.0,10.0,16.0,3.0,2.0,3.0,2.0,1.0,1.0,,32.0,16.0,22.0,Stjarnan,Keflavík,Keflavík,103.0,1.0,9.0,16.0,0.0,1.0,9.0,17.0,4.0,5.0
12,Reggie Dupree,22.483333333333334,,,,2.0,3.0,2.0,,,,,8.0,3.0,9.0,Stjarnan,Keflavík,Keflavík,103.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0
13,Hörður Axel Vilhjálmsson,35.31666666666667,,2.0,2.0,11.0,,3.0,,1.0,1.0,,18.0,16.0,9.0,Stjarnan,Keflavík,Keflavík,103.0,1.0,0.0,1.0,3.0,8.0,3.0,9.0,,
14,Andrés Ísak Hlynsson,8.366666666666667,,,,1.0,1.0,1.0,1.0,,,,2.0,-4.0,2.0,Stjarnan,Keflavík,Keflavík,103.0,,,,,,,,2.0,2.0
15,Veigar Áki Hlynsson,9.533333333333333,,,,,,1.0,,,,1.0,-2.0,-10.0,,Stjarnan,Keflavík,Keflavík,103.0,,0.0,1.0,0.0,1.0,0.0,2.0,,
0,Ingvi Þór Guðmundsson,25.05,,7.0,7.0,4.0,2.0,1.0,1.0,,,,11.0,5.0,6.0,Grindavík,Njarðvík,Grindavík,104.0,,1.0,2.0,1.0,5.0,2.0,7.0,1.0,1.0
1,Jamal K Olasawere,33.53333333333333,3.0,6.0,9.0,3.0,4.0,8.0,5.0,4.0,1.0,,20.0,13.0,18.0,Grindavík,Njarðvík,Grindavík,104.0,1.0,5.0,10.0,1.0,2.0,6.0,12.0,5.0,9.0
6,Sigtryggur Arnar Björnsson,32.233333333333334,,4.0,4.0,1.0,,2.0,1.0,2.0,1.0,,7.0,11.0,5.0,Grindavík,Njarðvík,Grindavík,104.0,1.0,2.0,5.0,0.0,1.0,2.0,6.0,1.0,2.0
7,Björgvin Hafþór Ríkharðsson,11.25,2.0,,2.0,,,1.0,1.0,2.0,,,1.0,-5.0,,Grindavík,Njarðvík,Grindavík,104.0,,0.0,2.0,,,0.0,2.0,,
8,Kristófer Breki Gylfason,0.0,,,,,,,,,,,,,,Grindavík,Njarðvík,Grindavík,104.0,,,,,,,,,
9,Dagur Kár Jónsson,36.983333333333334,,4.0,4.0,8.0,1.0,4.0,2.0,1.0,,2.0,18.0,15.0,14.0,Grindavík,Njarðvík,Grindavík,104.0,1.0,3.0,7.0,2.0,5.0,5.0,12.0,2.0,2.0
10,Jens Valgeir Óskarsson,0.0,,,,,,,,,,,,,,Grindavík,Njarðvík,Grindavík,104.0,,,,,,,,,
12,Sverrir Týr Sigurðsson,0.0,,,,,,,,,,,,,,Grindavík,Njarðvík,Grindavík,104.0,,,,,,,,,
13,Davíð Páll Hermannsson,0.0,,,,,,,,,,,,,,Grindavík,Njarðvík,Grindavík,104.0,,,,,,,,,
14,Ólafur Ólafsson,35.38333333333333,2.0,8.0,10.0,1.0,4.0,3.0,3.0,1.0,,,33.0,18.0,30.0,Grindavík,Njarðvík,Grindavík,104.0,1.0,4.0,6.0,7.0,11.0,11.0,17.0,1.0,1.0
15,Nökkvi Már Nökkvason,5.083333333333333,1.0,,1.0,,1.0,1.0,,,,,1.0,-2.0,1.0,Grindavík,Njarðvík,Grindavík,104.0,,,,,,,,1.0,2.0
33,Valdas Vasylius,20.483333333333334,,1.0,1.0,1.0,4.0,,1.0,,,1.0,-1.0,5.0,4.0,Grindavík,Njarðvík,Grindavík,104.0,1.0,2.0,7.0,0.0,1.0,2.0,8.0,,
2,Hermann Ingi Harðarson,0.0,,,,,,,,,,,,,,Grindavík,Njarðvík,Njarðvík,104.0,,,,,,,,,
5,Veigar Páll Alexandersson,12.683333333333334,,3.0,3.0,2.0,2.0,3.0,1.0,,,,7.0,,4.0,Grindavík,Njarðvík,Njarðvík,104.0,,0.0,1.0,,,0.0,1.0,4.0,4.0
8,Kristinn Pálsson,27.55,1.0,7.0,8.0,,1.0,2.0,3.0,1.0,,,8.0,-8.0,8.0,Grindavík,Njarðvík,Njarðvík,104.0,1.0,2.0,5.0,1.0,3.0,3.0,8.0,1.0,2.0
9,Ólafur Helgi Jónsson,15.6,2.0,2.0,4.0,1.0,2.0,2.0,1.0,,,,4.0,-2.0,6.0,Grindavík,Njarðvík,Njarðvík,104.0,,1.0,3.0,1.0,3.0,2.0,6.0,1.0,3.0
10,Jón Arnór Sverrisson,26.983333333333334,1.0,3.0,4.0,7.0,4.0,,,1.0,1.0,,11.0,-12.0,5.0,Grindavík,Njarðvík,Njarðvík,104.0,1.0,1.0,5.0,1.0,4.0,2.0,9.0,,
11,Rafn Edgar Sigmarsson,0.0,,,,,,,,,,,,,,Grindavík,Njarðvík,Njarðvík,104.0,,,,,,,,,
14,Logi Gunnarsson,23.433333333333334,,,,2.0,2.0,,1.0,1.0,,1.0,-5.0,-18.0,4.0,Grindavík,Njarðvík,Njarðvík,104.0,1.0,0.0,5.0,1.0,5.0,1.0,10.0,1.0,3.0
15,Guðjón Karl Halldórsson,0.0,,,,,,,,,,,,,,Grindavík,Njarðvík,Njarðvík,104.0,,,,,,,,,
21,Arnór Sveinsson,0.0,,,,,,,,,,,,,,Grindavík,Njarðvík,Njarðvík,104.0,,,,,,,,,
23,Maciek Stanislav Baginski,29.016666666666666,2.0,2.0,4.0,5.0,2.0,,3.0,,,,11.0,2.0,11.0,Grindavík,Njarðvík,Njarðvík,104.0,,1.0,4.0,3.0,6.0,4.0,10.0,,
31,Mario Matasovic,31.683333333333334,4.0,8.0,12.0,1.0,3.0,1.0,1.0,2.0,1.0,,23.0,-15.0,14.0,Grindavík,Njarðvík,Njarðvík,104.0,1.0,4.0,9.0,2.0,3.0,6.0,12.0,,
33,Wayne Ernest Martin Jr.,33.05,2.0,4.0,6.0,,4.0,6.0,5.0,,1.0,1.0,9.0,-7.0,14.0,Grindavík,Njarðvík,Njarðvík,104.0,1.0,7.0,11.0,0.0,1.0,7.0,12.0,0.0,2.0
1,Erlendur Ágúst Stefánsson,32.2,4.0,3.0,7.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,8.0,-8.0,7.0,Þór Akureyri,ÍR,Þór Akureyri,105.0,1.0,2.0,5.0,1.0,5.0,3.0,10.0,,
2,Jamal Marcel Palmer,30.816666666666666,2.0,2.0,4.0,,1.0,5.0,,2.0,,1.0,12.0,-6.0,19.0,Þór Akureyri,ÍR,Þór Akureyri,105.0,,6.0,14.0,1.0,4.0,7.0,18.0,4.0,6.0
3,Smári Jónsson,0.0,,,,,,,,,,,,,,Þór Akureyri,ÍR,Þór Akureyri,105.0,,,,,,,,,
4,Hansel Giovanny Atencia Suarez,29.8,1.0,2.0,3.0,4.0,,2.0,4.0,3.0,,,6.0,-11.0,11.0,Þór Akureyri,ÍR,Þór Akureyri,105.0,1.0,3.0,10.0,1.0,5.0,4.0,15.0,2.0,2.0
8,Júlíus Orri Ágústsson,19.45,3.0,2.0,5.0,3.0,2.0,1.0,1.0,2.0,,4.0,3.0,-5.0,4.0,Þór Akureyri,ÍR,Þór Akureyri,105.0,1.0,1.0,8.0,0.0,3.0,1.0,11.0,2.0,2.0
12,Sigurður Traustason,0.0,,,,,,,,,,,,,,Þór Akureyri,ÍR,Þór Akureyri,105.0,,,,,,,,,
15,Pablo Hernandez Montenegro,37.31666666666667,4.0,7.0,11.0,,5.0,5.0,,,1.0,,19.0,-13.0,18.0,Þór Akureyri,ÍR,Þór Akureyri,105.0,1.0,6.0,9.0,2.0,7.0,8.0,16.0,0.0,3.0
